delivery_id,postcode,latitude,longitude,delivery_score,compliance_status,delivery_date,delivery_status,parcel_type
D00034,SE8 4PB,51.474959,-0.025041,0.3,False,2024-02-17 20:00:59,Pending,Medium Box
D00035,SW1A 1AA,51.501009,-0.141588,0.29,False,2024-05-10 18:41:47,Failed,Medium Box
D00036,W1D 2HP,51.515666,-0.135284,0.49,False,2024-02-03 07:56:55,Delivered,Letter
D00037,SW1A 1AA,51.501009,-0.141588,0.0,False,2023-07-12 18:37:20,Failed,Small Box
D00038,NW1 8BF,51.542645,-0.146572,0.43,False,2023-06-17 07:29:55,Failed,Medium Box
D00039,W7 2AE,51.499006,-0.329397,0.12,False,2023-01-15 12:25:08,Failed,Large Box
D00040,W7 2AE,51.499006,-0.329397,0.17,False,2025-05-16 11:33:25,Delivered,Letter
D00041,NW1 8BF,51.542645,-0.146572,0.31,False,2023-03-20 06:46:22,Pending,Large Box
D00042,SE8 4PB,51.474959,-0.025041,0.58,True,2023-05-17 05:02:57,Delivered,Letter
D00043,N1 2RY,51.537499,-0.102178,0.26,False,2025-04-05 05:23:36,Delivered,Large Box
D00044,EC1A 1BB,51.524565,-0.112042,0.76,True,2023-09-18 17:52:38,Failed,Large Box
D00045,SE1 7PB,51.5025,-0.119384,0.89,True,2024-07-22 21:17:58,Delivered,Medium Box
D00046,E1 6AN,51.518887,-0.078479,0.17,False,2023-04-12 15:19:18,Failed,Small Box
D00047,SE1 7PB,51.5025,-0.119384,0.94,True,2023-09-19 02:15:08,Delivered,Letter
D00048,SE1 7PB,51.5025,-0.119384,0.73,True,2023-10-13 20:43:15,Failed,Small Box
D00049,N3 3HG,51.596078,-0.208168,0.04,False,2025-05-11 15:08:05,Pending,Large Box
D00050,EC1A 1BB,51.524565,-0.112042,0.25,False,2024-12-21 18:23:19,Delivered,Medium Box
D00051,SE8 4PB,51.474959,-0.025041,0.98,True,2023-03-26 00:57:51,Pending,Large Box
D00052,SE1 7PB,51.5025,-0.119384,0.58,True,2023-08-11 14:46:15,Delivered,Small Box
D00053,SW1A 1AA,51.501009,-0.141588,0.8,True,2025-04-07 02:40:40,Pending,Medium Box
D00054,SE1 7PB,51.5025,-0.119384,0.72,True,2025-01-12 12:27:04,Delivered,Medium Box
D00055,SW1A 1AA,51.501009,-0.141588,0.32,False,2023-02-25 21:38:02,Delivered,Letter
D00056,W3 6YJ,51.517102,-0.259135,0.53,True,2023-02-19 10:31:26,Failed,Letter
D00057,NW5 1PL,51.558613,-0.1483,0.22,False,2023-12-05 01:48:12,Pending,Medium Box
D00058,NW11 6SR,51.581904,-0.187339,0.05,False,2024-10-01 01:18:38,Delivered,Small Box
D00059,SE8 4PB,51.474959,-0.025041,0.81,True,2025-04-30 16:00:44,Failed,Large Box
D00060,W7 2AE,51.499006,-0.329397,0.49,False,2023-04-19 22:27:38,Pending,Letter
D00061,SE1 7PB,51.5025,-0.119384,0.27,False,2023-06-26 05:17:22,Pending,Small Box
D00062,W1D 2HP,51.515666,-0.135284,0.77,True,2024-06-08 04:47:45,Pending,Medium Box
D00063,W3 6YJ,51.517102,-0.259135,0.13,False,2023-04-20 09:34:45,Failed,Medium Box
D00064,EC1A 1BB,51.524565,-0.112042,0.89,True,2024-01-08 04:16:37,Pending,Large Box
D00065,E1 6AN,51.518887,-0.078479,0.33,False,2025-02-03 16:49:50,Failed,Large Box
D00066,N3 3HG,51.596078,-0.208168,0.9,True,2023-06-18 03:36:11,Pending,Small Box
D00067,W7 2AE,51.499006,-0.329397,0.61,True,2023-05-05 14:30:32,Pending,Letter
D00068,N1 2RY,51.537499,-0.102178,0.27,False,2023-09-01 13:16:20,Pending,Large Box
D00069,N1 2RY,51.537499,-0.102178,0.45,False,2024-06-23 16:56:04,Failed,Medium Box
D00070,NW5 1PL,51.558613,-0.1483,0.23,False,2025-05-07 16:20:57,Pending,Medium Box
D00071,NW11 6SR,51.581904,-0.187339,0.28,False,2023-02-21 00:48:18,Failed,Letter
D00072,E1 6AN,51.518887,-0.078479,0.74,True,2023-12-11 22:13:18,Failed,Large Box
D00073,SE8 4PB,51.474959,-0.025041,0.51,True,2023-03-30 01:22:15,Failed,Small Box
D00074,W7 2AE,51.499006,-0.329397,0.28,False,2024-03-14 07:06:21,Delivered,Medium Box
D00075,W1D 2HP,51.515666,-0.135284,0.92,True,2023-03-16 23:02:39,Delivered,Letter
D00076,NW1 8BF,51.542645,-0.146572,0.44,False,2023-02-21 00:15:25,Failed,Small Box
D00077,W1D 2HP,51.515666,-0.135284,0.38,False,2024-07-27 23:18:45,Pending,Letter
D00078,SE1 7PB,51.5025,-0.119384,0.43,False,2024-05-27 15:11:12,Failed,Small Box
D00079,W3 6YJ,51.517102,-0.259135,0.5,True,2023-09-17 19:15:56,Delivered,Medium Box
D00080,W3 6YJ,51.517102,-0.259135,0.73,True,2023-10-13 06:49:22,Failed,Letter
D00081,NW6 7EH,51.543052,-0.2028,0.83,True,2023-03-02 16:55:08,Pending,Large Box
D00082,SE1 7PB,51.5025,-0.119384,0.38,False,2024-03-29 12:27:42,Failed,Small Box
D00083,W5 4JJ,51.499591,-0.303774,0.72,True,2025-03-01 21:12:57,Failed,Medium Box
D00084,NW1 8BF,51.542645,-0.146572,0.23,False,2025-01-30 17:50:06,Delivered,Letter
D00085,W7 2AE,51.499006,-0.329397,0.5,True,2023-11-28 08:26:45,Failed,Medium Box
D00086,NW1 8BF,51.542645,-0.146572,0.67,True,2024-08-11 07:54:55,Failed,Medium Box
D00087,W5 4JJ,51.499591,-0.303774,0.63,True,2024-08-24 04:45:30,Delivered,Small Box
D00088,SE1 7PB,51.5025,-0.119384,0.02,False,2024-03-11 20:49:22,Delivered,Large Box
D00089,W3 6YJ,51.517102,-0.259135,0.42,False,2024-12-14 10:51:38,Failed,Large Box
D00090,E1 6AN,51.518887,-0.078479,0.14,False,2023-11-25 08:48:54,Pending,Letter
D00091,W1D 2HP,51.515666,-0.135284,0.52,True,2023-12-25 22:38:33,Pending,Large Box
D00092,W1D 2HP,51.515666,-0.135284,0.25,False,2023-06-17 06:59:47,Pending,Small Box
D00093,SW1A 1AA,51.501009,-0.141588,0.39,False,2025-05-02 14:19:00,Failed,Small Box
D00094,SW1A 1AA,51.501009,-0.141588,0.42,False,2024-09-02 08:01:15,Delivered,Letter
D00095,SE8 4PB,51.474959,-0.025041,0.33,False,2025-03-11 04:34:49,Delivered,Letter
D00096,W1D 2HP,51.515666,-0.135284,0.7,True,2024-11-01 15:49:02,Delivered,Small Box
D00097,NW5 1PL,51.558613,-0.1483,0.24,False,2023-12-06 19:35:22,Pending,Letter
D00098,W7 2AE,51.499006,-0.329397,0.99,True,2024-12-18 07:22:40,Pending,Small Box
D00099,W3 6YJ,51.517102,-0.259135,0.82,True,2024-12-11 01:57:36,Delivered,Letter
D00100,NW5 1PL,51.558613,-0.1483,0.33,False,2025-05-22 02:26:17,Pending,Medium Box
D00101,W5 4JJ,51.499591,-0.303774,0.49,False,2024-08-02 04:41:14,Delivered,Large Box
D00102,NW11 6SR,51.581904,-0.187339,0.08,False,2025-03-27 01:57:39,Failed,Medium Box
D00103,E1 6AN,51.518887,-0.078479,0.67,True,2023-09-08 07:37:14,Pending,Small Box
D00104,N3 3HG,51.596078,-0.208168,0.12,False,2023-11-08 11:14:57,Delivered,Large Box
D00105,W7 2AE,51.499006,-0.329397,0.95,True,2024-07-09 14:01:35,Failed,Large Box
D00106,SW1A 1AA,51.501009,-0.141588,0.06,False,2023-07-30 16:58:17,Pending,Letter
D00107,E1 6AN,51.518887,-0.078479,0.59,True,2023-03-24 04:34:34,Delivered,Large Box
D00108,NW5 1PL,51.558613,-0.1483,0.87,True,2023-10-22 22:34:47,Pending,Medium Box
D00109,NW11 6SR,51.581904,-0.187339,0.07,False,2023-01-15 05:59:42,Failed,Letter
D00110,SE1 7PB,51.5025,-0.119384,0.81,True,2024-10-15 08:22:38,Failed,Large Box
D00111,NW5 1PL,51.558613,-0.1483,0.99,True,2024-02-23 16:42:59,Delivered,Large Box
D00112,SW1A 1AA,51.501009,-0.141588,0.07,False,2024-07-02 00:16:55,Delivered,Large Box
D00113,N3 3HG,51.596078,-0.208168,0.24,False,2024-11-23 08:46:39,Delivered,Large Box
D00114,E1 6AN,51.518887,-0.078479,0.68,True,2024-05-15 16:01:50,Failed,Small Box
D00115,EC1A 1BB,51.524565,-0.112042,0.97,True,2025-04-24 04:55:44,Delivered,Letter
D00116,NW11 6SR,51.581904,-0.187339,0.77,True,2024-10-25 21:52:20,Pending,Large Box
D00117,NW11 6SR,51.581904,-0.187339,0.71,True,2023-08-30 20:00:04,Delivered,Small Box
D00118,NW5 1PL,51.558613,-0.1483,0.26,False,2024-04-22 23:07:20,Pending,Letter
D00119,N1 2RY,51.537499,-0.102178,0.81,True,2024-02-12 05:47:01,Failed,Medium Box
D00120,NW11 6SR,51.581904,-0.187339,0.6,True,2023-11-15 23:29:28,Pending,Large Box
D00121,SE8 4PB,51.474959,-0.025041,0.64,True,2023-08-10 03:33:44,Delivered,Letter
D00122,E1 6AN,51.518887,-0.078479,0.04,False,2024-10-29 09:58:40,Failed,Large Box
D00123,NW6 7EH,51.543052,-0.2028,0.26,False,2024-01-27 13:03:07,Delivered,Large Box
D00124,W7 2AE,51.499006,-0.329397,0.58,True,2024-12-15 16:09:23,Pending,Letter
D00125,N1 2RY,51.537499,-0.102178,0.6,True,2025-03-22 10:55:41,Delivered,Letter
D00126,SW1A 1AA,51.501009,-0.141588,0.3,False,2023-05-09 15:06:59,Failed,Medium Box
D00127,W1D 2HP,51.515666,-0.135284,0.31,False,2023-04-06 11:40:34,Failed,Medium Box
D00128,W1D 2HP,51.515666,-0.135284,0.75,True,2024-05-19 21:57:09,Failed,Small Box
D00129,E1 6AN,51.518887,-0.078479,0.03,False,2023-11-12 07:38:56,Failed,Small Box
D00130,W7 2AE,51.499006,-0.329397,0.18,False,2024-03-29 08:27:50,Pending,Large Box
D00131,W5 4JJ,51.499591,-0.303774,0.81,True,2024-09-09 20:59:09,Delivered,Small Box
D00132,EC1A 1BB,51.524565,-0.112042,0.37,False,2024-05-26 15:40:42,Failed,Large Box
D00133,NW11 6SR,51.581904,-0.187339,0.98,True,2025-01-21 20:11:04,Failed,Letter
D00134,W5 4JJ,51.499591,-0.303774,0.58,True,2023-10-25 15:43:27,Pending,Medium Box
D00135,N3 3HG,51.596078,-0.208168,0.48,False,2025-03-28 19:45:25,Delivered,Letter
D00136,SE8 4PB,51.474959,-0.025041,0.04,False,2023-10-30 00:30:56,Pending,Medium Box
D00137,N3 3HG,51.596078,-0.208168,0.27,False,2025-02-23 03:38:21,Pending,Small Box
D00138,W3 6YJ,51.517102,-0.259135,0.53,True,2025-01-16 02:16:14,Delivered,Medium Box
D00139,W5 4JJ,51.499591,-0.303774,0.26,False,2024-06-29 07:16:29,Delivered,Large Box
D00140,W3 6YJ,51.517102,-0.259135,0.06,False,2025-01-24 01:43:20,Pending,Small Box
D00141,E1 6AN,51.518887,-0.078479,0.23,False,2024-08-12 21:44:46,Failed,Small Box
D00142,NW5 1PL,51.558613,-0.1483,0.35,False,2023-12-13 03:49:21,Pending,Small Box
D00143,N3 3HG,51.596078,-0.208168,0.21,False,2023-08-05 21:25:43,Pending,Medium Box
D00144,NW11 6SR,51.581904,-0.187339,0.91,True,2025-01-10 16:48:14,Pending,Large Box
D00145,E1 6AN,51.518887,-0.078479,0.79,True,2024-03-30 15:17:59,Pending,Letter
D00146,NW1 8BF,51.542645,-0.146572,0.95,True,2024-04-09 00:56:21,Failed,Large Box
D00147,W1D 2HP,51.515666,-0.135284,0.47,False,2025-01-18 08:30:48,Pending,Letter
D00148,W5 4JJ,51.499591,-0.303774,0.36,False,2024-02-15 15:32:58,Pending,Medium Box
D00149,N1 2RY,51.537499,-0.102178,0.6,True,2023-01-23 19:43:01,Pending,Small Box
D00150,W1D 2HP,51.515666,-0.135284,0.34,False,2024-11-15 20:42:29,Failed,Medium Box
D00151,W7 2AE,51.499006,-0.329397,0.89,True,2024-11-27 00:07:07,Failed,Small Box
D00152,W7 2AE,51.499006,-0.329397,0.5,True,2024-03-07 00:31:25,Pending,Small Box
D00153,EC1A 1BB,51.524565,-0.112042,0.48,False,2023-07-12 02:02:42,Failed,Large Box
D00154,SE8 4PB,51.474959,-0.025041,0.06,False,2023-09-18 09:23:22,Failed,Letter
D00155,SE8 4PB,51.474959,-0.025041,0.47,False,2023-06-19 20:02:04,Delivered,Medium Box
D00156,N1 2RY,51.537499,-0.102178,0.97,True,2024-10-02 20:02:26,Pending,Medium Box
D00157,NW11 6SR,51.581904,-0.187339,0.49,False,2023-08-02 16:52:41,Failed,Letter
D00158,NW11 6SR,51.581904,-0.187339,0.87,True,2023-11-07 07:20:02,Failed,Medium Box
D00159,W5 4JJ,51.499591,-0.303774,0.48,False,2025-02-10 03:01:20,Delivered,Letter
D00160,NW11 6SR,51.581904,-0.187339,0.86,True,2024-06-04 08:46:09,Failed,Letter
D00161,NW1 8BF,51.542645,-0.146572,0.91,True,2025-03-17 18:45:57,Pending,Large Box
D00162,E1 6AN,51.518887,-0.078479,0.38,False,2024-09-26 18:52:46,Failed,Medium Box
D00163,SW1A 1AA,51.501009,-0.141588,0.57,True,2024-08-22 04:51:47,Delivered,Small Box
D00164,EC1A 1BB,51.524565,-0.112042,0.73,True,2024-08-14 04:59:08,Pending,Small Box
D00165,W7 2AE,51.499006,-0.329397,0.92,True,2024-09-23 09:59:41,Failed,Medium Box
D00166,SE8 4PB,51.474959,-0.025041,0.96,True,2025-01-06 18:08:04,Pending,Large Box
D00167,SE1 7PB,51.5025,-0.119384,0.18,False,2023-02-17 00:41:57,Failed,Large Box
D00168,E1 6AN,51.518887,-0.078479,0.53,True,2023-05-27 09:09:37,Pending,Letter
D00169,W3 6YJ,51.517102,-0.259135,0.23,False,2024-01-16 22:40:59,Delivered,Large Box
D00170,W1D 2HP,51.515666,-0.135284,0.93,True,2023-03-04 15:01:33,Delivered,Letter
D00171,N1 2RY,51.537499,-0.102178,0.17,False,2024-03-26 01:09:32,Failed,Small Box
D00172,NW5 1PL,51.558613,-0.1483,0.75,True,2023-07-31 22:01:27,Delivered,Medium Box
D00173,NW6 7EH,51.543052,-0.2028,0.46,False,2023-07-11 10:58:19,Failed,Large Box
D00174,SE8 4PB,51.474959,-0.025041,0.23,False,2024-06-26 20:03:05,Delivered,Large Box
D00175,NW6 7EH,51.543052,-0.2028,0.28,False,2024-10-31 04:03:43,Failed,Medium Box
D00176,E1 6AN,51.518887,-0.078479,0.03,False,2024-06-23 14:27:45,Failed,Large Box
D00177,NW6 7EH,51.543052,-0.2028,0.78,True,2023-08-07 18:28:18,Failed,Large Box
D00178,NW11 6SR,51.581904,-0.187339,0.15,False,2023-11-05 08:51:47,Failed,Letter
D00179,W5 4JJ,51.499591,-0.303774,0.31,False,2023-07-02 05:21:10,Delivered,Medium Box
D00180,NW1 8BF,51.542645,-0.146572,0.89,True,2025-05-23 19:24:32,Failed,Large Box
D00181,W7 2AE,51.499006,-0.329397,0.67,True,2024-07-20 15:11:29,Failed,Medium Box
D00182,W3 6YJ,51.517102,-0.259135,0.18,False,2025-03-13 09:33:17,Pending,Small Box
D00183,EC1A 1BB,51.524565,-0.112042,0.06,False,2025-05-11 13:29:49,Delivered,Letter
D00184,NW11 6SR,51.581904,-0.187339,0.39,False,2024-09-13 11:25:50,Failed,Letter
D00185,W7 2AE,51.499006,-0.329397,0.74,True,2023-05-09 14:48:32,Failed,Medium Box
D00186,SW1A 1AA,51.501009,-0.141588,0.37,False,2025-02-15 22:46:22,Pending,Medium Box
D00187,NW1 8BF,51.542645,-0.146572,0.79,True,2025-03-09 17:26:45,Delivered,Small Box
D00188,W3 6YJ,51.517102,-0.259135,0.56,True,2023-04-17 08:58:21,Delivered,Small Box
D00189,EC1A 1BB,51.524565,-0.112042,0.84,True,2023-06-22 18:40:17,Pending,Small Box
D00190,N1 2RY,51.537499,-0.102178,0.02,False,2025-01-28 18:01:52,Pending,Medium Box
D00191,NW5 1PL,51.558613,-0.1483,0.56,True,2023-12-02 23:05:43,Failed,Letter
D00192,W7 2AE,51.499006,-0.329397,0.56,True,2024-03-19 00:17:53,Failed,Large Box
D00193,NW5 1PL,51.558613,-0.1483,0.81,True,2024-09-19 18:31:54,Delivered,Large Box
D00194,W1D 2HP,51.515666,-0.135284,0.06,False,2025-05-18 05:29:28,Delivered,Large Box
D00195,EC1A 1BB,51.524565,-0.112042,1.0,True,2023-12-02 18:12:28,Delivered,Large Box
D00196,SE1 7PB,51.5025,-0.119384,0.19,False,2023-03-31 04:20:09,Pending,Large Box
D00197,W5 4JJ,51.499591,-0.303774,0.85,True,2024-08-03 19:08:24,Delivered,Letter
D00198,SW1A 1AA,51.501009,-0.141588,0.56,True,2025-04-08 18:08:58,Delivered,Small Box
D00199,SE1 7PB,51.5025,-0.119384,0.5,True,2024-05-11 03:47:06,Delivered,Small Box
D00200,NW6 7EH,51.543052,-0.2028,0.81,True,2024-11-21 23:01:05,Delivered,Small Box
D00201,W5 4JJ,51.499591,-0.303774,0.16,False,2023-12-20 13:51:04,Pending,Medium Box
D00202,N3 3HG,51.596078,-0.208168,0.22,False,2023-01-29 08:38:00,Pending,Medium Box
D00203,W1D 2HP,51.515666,-0.135284,0.16,False,2023-07-26 04:30:31,Failed,Letter
D00204,NW1 8BF,51.542645,-0.146572,0.38,False,2025-04-08 20:50:21,Failed,Letter
D00205,W7 2AE,51.499006,-0.329397,0.04,False,2025-01-15 10:17:36,Failed,Medium Box
D00206,NW5 1PL,51.558613,-0.1483,0.08,False,2025-04-26 14:13:34,Delivered,Large Box
D00207,NW6 7EH,51.543052,-0.2028,0.5,True,2024-10-13 20:57:04,Failed,Small Box
D00208,N3 3HG,51.596078,-0.208168,0.3,False,2023-04-04 02:29:52,Pending,Large Box
D00209,NW11 6SR,51.581904,-0.187339,0.93,True,2024-01-24 22:54:12,Delivered,Letter
D00210,W5 4JJ,51.499591,-0.303774,0.69,True,2024-04-09 08:48:37,Delivered,Small Box
D00211,W3 6YJ,51.517102,-0.259135,0.92,True,2023-12-01 09:37:40,Failed,Small Box
D00212,NW11 6SR,51.581904,-0.187339,0.56,True,2024-10-24 02:36:38,Failed,Large Box
D00213,W1D 2HP,51.515666,-0.135284,0.96,True,2023-05-07 03:12:53,Failed,Letter
D00214,W3 6YJ,51.517102,-0.259135,0.49,False,2025-01-26 16:14:09,Failed,Large Box
D00215,NW1 8BF,51.542645,-0.146572,0.94,True,2023-10-06 19:16:30,Delivered,Large Box
D00216,N1 2RY,51.537499,-0.102178,0.36,False,2023-12-15 16:59:46,Delivered,Letter
D00217,W3 6YJ,51.517102,-0.259135,0.8,True,2024-03-15 10:25:10,Failed,Letter
D00218,W1D 2HP,51.515666,-0.135284,0.71,True,2023-08-03 22:03:24,Delivered,Letter
D00219,NW6 7EH,51.543052,-0.2028,0.97,True,2024-09-23 00:35:17,Failed,Medium Box
D00220,W1D 2HP,51.515666,-0.135284,0.06,False,2025-04-11 14:19:54,Failed,Small Box
D00221,N1 2RY,51.537499,-0.102178,0.45,False,2024-07-11 10:24:18,Delivered,Small Box
D00222,SW1A 1AA,51.501009,-0.141588,0.55,True,2023-09-20 00:16:00,Delivered,Small Box
D00223,W7 2AE,51.499006,-0.329397,0.54,True,2024-04-28 12:58:16,Failed,Large Box
D00224,NW11 6SR,51.581904,-0.187339,0.08,False,2023-08-20 06:32:09,Failed,Large Box
D00225,SE8 4PB,51.474959,-0.025041,0.51,True,2024-12-25 19:13:55,Pending,Small Box
D00226,SE8 4PB,51.474959,-0.025041,0.55,True,2025-04-26 15:41:43,Delivered,Large Box
D00227,W3 6YJ,51.517102,-0.259135,0.26,False,2024-08-12 23:53:01,Delivered,Medium Box
D00228,EC1A 1BB,51.524565,-0.112042,0.36,False,2023-03-12 07:40:26,Pending,Medium Box
D00229,NW5 1PL,51.558613,-0.1483,0.8,True,2023-10-05 18:06:46,Delivered,Small Box
D00230,E1 6AN,51.518887,-0.078479,0.89,True,2024-10-29 21:55:15,Failed,Medium Box
D00231,NW11 6SR,51.581904,-0.187339,0.64,True,2024-01-11 20:04:14,Failed,Medium Box
D00232,SE8 4PB,51.474959,-0.025041,0.49,False,2023-03-10 00:16:25,Failed,Large Box
D00233,W1D 2HP,51.515666,-0.135284,0.9,True,2023-05-26 03:38:09,Failed,Small Box
D00234,EC1A 1BB,51.524565,-0.112042,0.78,True,2025-04-07 11:57:35,Delivered,Small Box
D00235,W3 6YJ,51.517102,-0.259135,0.78,True,2023-10-30 07:04:35,Failed,Medium Box
D00236,SE1 7PB,51.5025,-0.119384,0.7,True,2023-03-07 04:22:20,Delivered,Small Box
D00237,SE8 4PB,51.474959,-0.025041,0.34,False,2024-10-10 08:58:01,Failed,Medium Box
D00238,NW11 6SR,51.581904,-0.187339,0.35,False,2023-07-07 00:29:43,Delivered,Small Box
D00239,W7 2AE,51.499006,-0.329397,0.96,True,2025-04-22 05:05:54,Failed,Medium Box
D00240,N1 2RY,51.537499,-0.102178,0.45,False,2024-05-14 05:04:15,Failed,Letter
D00241,E1 6AN,51.518887,-0.078479,0.82,True,2024-04-19 12:00:15,Failed,Small Box
D00242,W3 6YJ,51.517102,-0.259135,0.22,False,2025-02-05 17:27:42,Delivered,Small Box
D00243,W7 2AE,51.499006,-0.329397,0.38,False,2024-12-05 02:44:19,Delivered,Large Box
D00244,NW1 8BF,51.542645,-0.146572,0.32,False,2024-09-01 23:07:10,Failed,Letter
D00245,NW5 1PL,51.558613,-0.1483,0.87,True,2025-01-05 15:07:31,Pending,Small Box
D00246,NW5 1PL,51.558613,-0.1483,0.05,False,2023-03-02 02:33:25,Failed,Medium Box
D00247,SE1 7PB,51.5025,-0.119384,0.92,True,2023-12-13 09:30:36,Failed,Large Box
D00248,SE8 4PB,51.474959,-0.025041,0.74,True,2024-12-05 19:27:21,Failed,Large Box
D00249,NW6 7EH,51.543052,-0.2028,0.63,True,2024-06-20 22:17:29,Pending,Small Box
D00250,SE1 7PB,51.5025,-0.119384,0.05,False,2023-07-06 17:25:19,Pending,Medium Box
D00251,N1 2RY,51.537499,-0.102178,0.18,False,2023-06-25 12:55:07,Failed,Medium Box
D00252,NW1 8BF,51.542645,-0.146572,0.87,True,2024-08-23 22:40:41,Pending,Large Box
D00253,NW11 6SR,51.581904,-0.187339,0.66,True,2024-05-14 22:45:00,Pending,Large Box
D00254,N1 2RY,51.537499,-0.102178,0.94,True,2023-02-08 19:35:04,Failed,Medium Box
D00255,NW1 8BF,51.542645,-0.146572,0.76,True,2024-12-22 11:27:32,Delivered,Small Box
D00256,NW5 1PL,51.558613,-0.1483,0.98,True,2023-11-28 02:03:06,Delivered,Letter
D00257,SE8 4PB,51.474959,-0.025041,0.25,False,2023-10-17 23:44:55,Pending,Letter
D00258,SE8 4PB,51.474959,-0.025041,0.43,False,2023-09-22 05:59:11,Delivered,Letter
D00259,N1 2RY,51.537499,-0.102178,0.86,True,2025-03-20 00:10:38,Delivered,Large Box
D00260,NW5 1PL,51.558613,-0.1483,0.06,False,2024-10-10 20:00:47,Failed,Large Box
D00261,NW6 7EH,51.543052,-0.2028,0.65,True,2025-01-26 20:27:52,Failed,Medium Box
D00262,N1 2RY,51.537499,-0.102178,0.57,True,2024-01-25 18:23:13,Pending,Small Box
D00263,NW5 1PL,51.558613,-0.1483,0.19,False,2023-10-05 00:19:33,Failed,Medium Box
D00264,W7 2AE,51.499006,-0.329397,0.41,False,2023-12-11 16:33:30,Failed,Large Box
D00265,W1D 2HP,51.515666,-0.135284,0.48,False,2025-05-27 08:56:38,Failed,Small Box
D00266,SE8 4PB,51.474959,-0.025041,0.76,True,2024-03-17 08:57:23,Failed,Letter
D00267,NW1 8BF,51.542645,-0.146572,0.54,True,2023-11-23 18:31:31,Pending,Small Box
D00268,NW1 8BF,51.542645,-0.146572,0.43,False,2025-04-20 13:14:16,Delivered,Letter
D00269,N1 2RY,51.537499,-0.102178,0.04,False,2024-07-06 07:46:27,Failed,Small Box
D00270,W7 2AE,51.499006,-0.329397,0.09,False,2023-04-01 03:19:25,Delivered,Small Box
D00271,W7 2AE,51.499006,-0.329397,0.44,False,2025-02-13 11:31:59,Failed,Small Box
