delivery_id,postcode,delivery_score,compliance_status,delivery_date,delivery_status,parcel_type
D00069,NW1 8BF,0.72,True,2024-01-17 14:33:42.870759856,Delivered,Letter
D00070,W1D 2HP,0.91,True,2023-03-17 20:15:09.352443621,Pending,Small Box
D00071,SW1A 1AA,0.05,False,2024-06-22 11:24:31.887516720,Delivered,Letter
D00072,SE1 7PB,0.84,True,2023-09-26 00:41:47.310051768,Pending,Medium Box
D00073,SE1 7PB,0.39,False,2024-10-21 08:58:40.448540016,Failed,Small Box
D00074,SE1 7PB,0.49,False,2024-06-11 05:56:01.100965616,Failed,Medium Box
D00075,WC2E 7HQ,0.95,True,2024-09-01 12:51:35.922640696,Failed,Small Box
D00076,SW1A 1AA,0.17,False,2024-07-17 18:29:30.291609792,Failed,Small Box
D00077,W1D 2HP,0.7,True,2024-04-19 18:57:25.720322608,Pending,Small Box
D00078,SW1A 1AA,0.37,False,2024-01-19 09:39:10.973299728,Pending,Letter
D00079,E1 6AN,0.28,False,2024-09-25 22:15:29.227229544,Delivered,Large Box
D00080,SE1 7PB,0.5,True,2025-03-04 07:07:23.520794136,Failed,Letter
D00081,SW1A 1AA,0.46,False,2023-11-30 10:07:14.320874384,Delivered,Letter
D00082,W1D 2HP,0.3,False,2024-08-14 13:59:11.849128352,Failed,Small Box
D00083,N1 2RY,0.33,False,2025-02-04 01:37:11.520670976,Pending,Medium Box
D00084,SW1A 1AA,0.73,True,2024-02-21 13:42:05.401046092,Delivered,Small Box
D00085,W1D 2HP,0.17,False,2023-05-25 04:41:20.832569168,Pending,Medium Box
D00086,NW1 8BF,0.63,True,2024-05-01 03:46:14.978634296,Failed,Letter
D00087,W1D 2HP,0.86,True,2023-12-29 03:11:14.052625648,Failed,Medium Box
D00088,N1 2RY,0.61,True,2024-08-19 22:09:41.384034120,Delivered,Small Box
D00089,SW1A 1AA,0.79,True,2024-01-23 16:51:12.388173780,Pending,Medium Box
D00090,EC1A 1BB,0.78,True,2023-12-07 22:45:50.023662300,Delivered,Letter
D00091,E1 6AN,0.1,False,2023-10-01 12:24:50.275410192,Failed,Medium Box
D00092,N1 2RY,0.56,True,2024-05-03 18:23:29.721055984,Failed,Letter
D00093,NW1 8BF,0.83,True,2024-06-03 16:17:26.064343960,Delivered,Letter
D00094,W1D 2HP,0.62,True,2024-03-19 04:05:17.011025144,Pending,Large Box
D00095,EC1A 1BB,0.37,False,2024-01-06 02:37:18.731432552,Pending,Small Box
D00096,SE1 7PB,0.08,False,2025-05-17 12:46:32.584799760,Failed,Medium Box
D00097,EC1A 1BB,0.08,False,2023-07-11 08:28:44.947593592,Delivered,Letter
D00098,N1 2RY,0.76,True,2024-03-05 15:00:39.925076800,Delivered,Medium Box
D00099,W1D 2HP,0.28,False,2025-01-29 02:54:11.684201464,Failed,Large Box
D00100,N1 2RY,0.04,False,2025-04-15 08:17:09.981155568,Delivered,Small Box
D00101,WC2E 7HQ,0.26,False,2023-03-27 23:21:56.081837829,Pending,Large Box
D00102,EC1A 1BB,0.22,False,2023-06-27 15:06:31.481879566,Pending,Medium Box
D00103,SE1 7PB,0.01,False,2025-01-23 02:20:15.177314608,Delivered,Letter
D00104,E1 6AN,0.35,False,2024-02-11 06:06:03.659358584,Pending,Medium Box
D00105,SW1A 1AA,0.3,False,2023-07-22 06:05:45.170299770,Delivered,Medium Box
D00106,SW1A 1AA,0.09,False,2024-11-19 11:45:14.844175280,Pending,Small Box
D00107,EC1A 1BB,0.19,False,2024-06-28 12:10:50.436420096,Delivered,Medium Box
D00108,WC2E 7HQ,0.04,False,2023-01-20 16:57:02.561157251,Delivered,Large Box
D00109,EC1A 1BB,0.51,True,2023-11-07 17:42:37.822853860,Delivered,Large Box
D00110,SW1A 1AA,0.71,True,2023-03-29 23:04:45.317406294,Pending,Large Box
D00111,NW1 8BF,0.71,True,2024-11-08 07:59:04.776449312,Failed,Letter
D00112,W1D 2HP,0.09,False,2023-01-09 05:54:38.035093818,Failed,Medium Box
D00113,E1 6AN,0.42,False,2025-05-02 01:03:17.550626640,Failed,Small Box
D00114,E1 6AN,0.78,True,2023-09-06 03:20:03.822021156,Delivered,Small Box
D00115,WC2E 7HQ,0.22,False,2024-08-14 13:42:08.131990648,Delivered,Small Box
D00116,N1 2RY,0.87,True,2023-07-29 07:38:26.097391320,Pending,Medium Box
D00117,SE1 7PB,0.08,False,2023-10-28 13:36:21.297693628,Delivered,Medium Box
D00118,N1 2RY,0.35,False,2025-04-06 04:54:12.979207344,Pending,Letter
D00119,WC2E 7HQ,0.58,True,2024-12-13 23:19:04.935626960,Pending,Small Box
D00120,E1 6AN,0.89,True,2024-08-19 13:15:01.438195424,Delivered,Large Box
D00121,N1 2RY,0.33,False,2023-09-06 09:02:28.352655040,Pending,Large Box
D00122,W1D 2HP,0.27,False,2024-07-01 06:50:54.454815120,Failed,Large Box
D00123,W1D 2HP,0.0,False,2023-09-13 22:09:03.199643836,Delivered,Large Box
D00124,EC1A 1BB,0.68,True,2023-09-16 15:42:07.258939280,Failed,Large Box
D00125,EC1A 1BB,0.09,False,2023-04-12 03:43:52.818895559,Pending,Small Box
D00126,EC1A 1BB,0.18,False,2023-09-05 08:29:27.453289184,Failed,Small Box
D00127,E1 6AN,0.81,True,2023-02-05 07:25:32.697480835,Delivered,Large Box
D00128,WC2E 7HQ,0.38,False,2023-01-11 09:45:46.721796036,Delivered,Letter
D00129,W1D 2HP,0.37,False,2024-10-02 20:16:08.408940368,Pending,Medium Box
D00130,NW1 8BF,0.36,False,2024-04-01 09:19:51.953088328,Delivered,Large Box
D00131,NW1 8BF,0.21,False,2024-01-21 19:31:56.115907856,Failed,Medium Box
D00132,EC1A 1BB,0.33,False,2024-05-01 20:25:33.139787776,Pending,Small Box
D00133,W1D 2HP,0.49,False,2024-01-26 03:55:58.279576420,Pending,Small Box
D00134,SE1 7PB,0.23,False,2023-09-13 22:14:08.821871772,Delivered,Large Box
D00135,EC1A 1BB,0.76,True,2025-02-09 02:56:44.900865520,Delivered,Large Box
D00136,EC1A 1BB,0.61,True,2023-06-05 18:50:40.452551856,Failed,Medium Box
D00137,NW1 8BF,0.13,False,2023-04-01 21:52:28.342650633,Delivered,Letter
D00138,WC2E 7HQ,0.75,True,2024-07-23 22:45:50.767004784,Failed,Medium Box
D00139,E1 6AN,0.74,True,2024-04-16 21:40:33.679008648,Failed,Large Box
D00140,WC2E 7HQ,0.92,True,2024-10-24 04:33:38.136612504,Failed,Large Box
D00141,N1 2RY,0.59,True,2025-01-02 17:39:44.944244008,Pending,Large Box
D00142,EC1A 1BB,0.84,True,2025-04-09 15:23:43.371455232,Pending,Small Box
D00143,NW1 8BF,0.39,False,2024-03-29 22:32:36.041087696,Pending,Small Box
D00144,EC1A 1BB,0.77,True,2023-05-04 10:06:19.501518324,Delivered,Large Box
D00145,E1 6AN,0.82,True,2023-09-26 03:21:56.465627044,Pending,Letter
D00146,EC1A 1BB,0.65,True,2023-11-08 02:00:53.285998228,Failed,Letter
D00147,SE1 7PB,0.04,False,2023-03-25 21:47:19.643521661,Pending,Small Box
D00148,WC2E 7HQ,0.73,True,2023-11-23 10:08:49.828471288,Delivered,Large Box
D00149,E1 6AN,0.1,False,2023-02-20 08:34:32.278568869,Failed,Letter
D00150,SE1 7PB,0.06,False,2024-08-18 08:19:02.233116136,Delivered,Large Box
D00151,E1 6AN,0.53,True,2024-10-06 14:26:35.150923184,Failed,Medium Box
D00152,NW1 8BF,0.67,True,2023-11-27 02:52:38.064676944,Delivered,Letter
D00153,SE1 7PB,0.75,True,2023-11-14 17:13:34.867367372,Pending,Letter
D00154,SE1 7PB,0.33,False,2023-11-15 11:52:54.151335360,Failed,Medium Box
D00155,SE1 7PB,0.5,True,2025-04-30 09:45:36.356181568,Failed,Medium Box
D00156,W1D 2HP,0.96,True,2024-03-15 04:01:17.296769720,Pending,Small Box
D00157,WC2E 7HQ,0.75,True,2023-10-23 03:40:02.282873896,Delivered,Letter
D00158,SW1A 1AA,0.62,True,2025-03-18 09:42:13.676659728,Failed,Letter
D00159,NW1 8BF,0.69,True,2023-11-18 09:37:11.137758012,Delivered,Large Box
D00160,E1 6AN,0.98,True,2024-07-14 00:44:09.857780408,Delivered,Small Box
D00161,EC1A 1BB,0.68,True,2025-01-07 11:17:01.981983840,Pending,Small Box
D00162,NW1 8BF,0.74,True,2023-02-26 17:53:08.960978363,Pending,Large Box
D00163,EC1A 1BB,0.19,False,2024-03-01 16:10:06.461250880,Failed,Large Box
D00164,W1D 2HP,0.61,True,2024-07-05 04:49:51.638903000,Delivered,Large Box
D00165,SE1 7PB,0.99,True,2023-06-12 15:05:07.256140026,Failed,Medium Box
D00166,N1 2RY,0.26,False,2024-10-03 09:18:16.390088016,Failed,Letter
D00167,N1 2RY,0.34,False,2024-08-11 05:37:26.797031064,Delivered,Medium Box
D00168,SE1 7PB,0.01,False,2023-10-26 15:02:58.373519768,Delivered,Small Box
D00169,EC1A 1BB,0.98,True,2024-09-03 00:42:11.763670192,Pending,Small Box
D00170,W1D 2HP,0.87,True,2024-04-19 07:18:29.952428480,Pending,Small Box
D00171,SW1A 1AA,0.32,False,2023-01-01 16:24:17.034082468,Delivered,Letter
D00172,SE1 7PB,0.28,False,2024-06-25 07:04:34.604503440,Pending,Small Box
D00173,SW1A 1AA,0.5,True,2023-06-25 02:02:40.778249934,Failed,Large Box
D00174,SE1 7PB,0.06,False,2023-01-14 07:59:43.201830118,Delivered,Letter
D00175,SE1 7PB,0.25,False,2024-03-14 22:08:06.683569072,Failed,Letter
D00176,W1D 2HP,0.85,True,2024-08-03 09:52:54.318698656,Delivered,Letter
D00177,NW1 8BF,0.23,False,2024-05-19 06:59:01.071166008,Pending,Medium Box
D00178,WC2E 7HQ,0.58,True,2023-08-16 09:59:21.162735264,Pending,Large Box
D00179,SE1 7PB,0.48,False,2024-09-26 17:41:01.732746712,Failed,Small Box
D00180,W1D 2HP,0.47,False,2023-08-16 09:47:37.359773352,Pending,Letter
D00181,W1D 2HP,0.34,False,2023-04-30 00:50:34.162943816,Pending,Medium Box
D00182,EC1A 1BB,0.84,True,2024-08-22 12:12:58.076695392,Failed,Letter
D00183,NW1 8BF,0.85,True,2025-05-07 06:25:47.989887392,Failed,Letter
D00184,SE1 7PB,0.34,False,2025-02-02 11:53:46.733328472,Failed,Medium Box
D00185,W1D 2HP,0.08,False,2023-08-04 20:03:16.080164492,Pending,Small Box
D00186,WC2E 7HQ,0.33,False,2025-05-12 22:22:54.861472048,Delivered,Large Box
D00187,W1D 2HP,0.54,True,2024-12-16 04:05:31.140274352,Delivered,Medium Box
D00188,SE1 7PB,0.4,False,2024-10-06 01:29:44.997013760,Pending,Letter
D00189,N1 2RY,0.28,False,2023-06-24 08:29:02.204234040,Delivered,Medium Box
D00190,N1 2RY,0.99,True,2025-04-28 06:27:15.114457504,Failed,Small Box
D00191,E1 6AN,0.29,False,2024-07-10 02:36:57.037642752,Delivered,Small Box
D00192,SE1 7PB,0.34,False,2023-12-15 00:37:07.903857904,Pending,Large Box
D00193,N1 2RY,0.57,True,2023-07-09 17:18:20.112777904,Delivered,Medium Box
D00194,SE1 7PB,0.56,True,2023-11-16 18:16:48.795489464,Delivered,Large Box
D00195,SW1A 1AA,0.15,False,2023-07-31 15:25:02.209555336,Pending,Letter
D00196,WC2E 7HQ,0.38,False,2024-07-05 18:25:17.941019312,Delivered,Letter
D00197,E1 6AN,0.87,True,2024-07-27 00:03:12.888491544,Pending,Letter
D00198,E1 6AN,0.06,False,2025-05-21 05:08:48.190804816,Delivered,Large Box
D00199,N1 2RY,0.87,True,2023-02-23 23:03:53.780367871,Failed,Medium Box
D00200,W1D 2HP,0.5,True,2023-03-17 16:43:39.057425746,Failed,Large Box
D00201,W1D 2HP,0.73,True,2024-07-11 03:40:21.449502896,Pending,Small Box
D00202,WC2E 7HQ,0.24,False,2024-02-03 14:35:48.118481676,Delivered,Letter
D00203,N1 2RY,0.04,False,2024-09-10 23:41:33.848608040,Failed,Small Box
D00204,E1 6AN,0.95,True,2025-03-20 00:00:41.071102464,Pending,Small Box
D00205,W1D 2HP,0.67,True,2024-10-25 00:54:29.170149352,Pending,Medium Box
D00206,SE1 7PB,0.49,False,2024-11-26 18:14:27.106185392,Pending,Letter
D00207,SW1A 1AA,0.49,False,2024-10-25 17:00:03.180960800,Delivered,Small Box
D00208,N1 2RY,0.21,False,2023-05-01 20:09:09.912990960,Failed,Large Box
D00209,SE1 7PB,0.57,True,2025-03-26 05:26:54.917093352,Pending,Letter
D00210,SW1A 1AA,0.13,False,2025-05-01 06:22:42.143628592,Failed,Large Box
D00211,EC1A 1BB,0.85,True,2024-03-24 04:52:30.945950416,Pending,Small Box
D00212,SW1A 1AA,1.0,True,2024-02-28 04:09:27.275537184,Pending,Large Box
D00213,W1D 2HP,0.32,False,2024-08-13 17:47:53.535468688,Pending,Medium Box
D00214,EC1A 1BB,0.39,False,2024-05-02 10:40:36.768825312,Delivered,Large Box
D00215,W1D 2HP,0.06,False,2025-01-12 21:46:19.156608152,Failed,Small Box
D00216,EC1A 1BB,0.27,False,2023-06-17 23:53:26.838478432,Pending,Large Box
D00217,SW1A 1AA,0.48,False,2024-07-13 10:03:50.682864256,Pending,Small Box
D00218,E1 6AN,0.33,False,2023-04-19 21:06:49.450913058,Pending,Medium Box
D00219,SE1 7PB,0.87,True,2023-06-02 19:48:48.188003712,Failed,Medium Box
D00220,SW1A 1AA,0.44,False,2024-02-20 18:54:15.296120940,Pending,Small Box
D00221,EC1A 1BB,0.71,True,2023-11-16 08:26:52.888006124,Delivered,Letter
D00222,SE1 7PB,0.75,True,2023-07-29 17:43:35.531417764,Failed,Large Box
D00223,SE1 7PB,0.48,False,2023-11-25 23:07:36.028249636,Pending,Medium Box
D00224,EC1A 1BB,0.1,False,2024-01-09 10:43:31.772460592,Pending,Large Box
D00225,SW1A 1AA,0.36,False,2023-06-04 14:23:27.145685364,Pending,Large Box
D00226,SE1 7PB,0.33,False,2025-01-22 00:33:09.675418888,Delivered,Small Box
D00227,WC2E 7HQ,0.6,True,2024-12-15 10:51:51.117535944,Failed,Letter
D00228,N1 2RY,0.45,False,2024-07-31 21:30:38.000463360,Failed,Letter
D00229,W1D 2HP,0.97,True,2025-01-04 02:02:21.365752368,Failed,Small Box
D00230,EC1A 1BB,0.01,False,2023-04-02 08:01:12.489491172,Delivered,Small Box
D00231,E1 6AN,0.71,True,2025-05-19 20:30:05.836844816,Pending,Letter
D00232,W1D 2HP,0.84,True,2024-11-29 09:29:19.443384056,Delivered,Large Box
D00233,WC2E 7HQ,0.17,False,2024-02-17 17:18:00.072749412,Failed,Large Box
D00234,N1 2RY,0.21,False,2023-04-18 10:20:54.961264172,Failed,Small Box
D00235,SW1A 1AA,0.11,False,2023-06-17 01:42:03.006481484,Failed,Large Box
D00236,NW1 8BF,0.35,False,2023-07-21 23:55:35.432868264,Delivered,Large Box
D00237,WC2E 7HQ,0.17,False,2024-07-11 16:00:18.690919032,Failed,Large Box
D00238,EC1A 1BB,0.27,False,2024-06-19 07:52:10.557492704,Failed,Medium Box
D00239,SE1 7PB,0.66,True,2024-02-02 14:54:54.441294324,Delivered,Letter
D00240,W1D 2HP,0.53,True,2023-08-19 11:36:24.936577400,Pending,Letter
D00241,SW1A 1AA,0.59,True,2023-09-28 06:32:08.174750332,Failed,Large Box
D00242,N1 2RY,0.49,False,2025-03-31 15:45:57.475447488,Pending,Medium Box
D00243,WC2E 7HQ,0.54,True,2023-01-28 03:58:00.786022407,Pending,Large Box
D00244,WC2E 7HQ,0.5,True,2023-04-14 23:03:37.822133689,Pending,Large Box
D00245,NW1 8BF,0.73,True,2025-04-04 16:56:41.450806200,Delivered,Medium Box
D00246,E1 6AN,0.42,False,2023-02-01 04:12:20.366183420,Delivered,Letter
D00247,WC2E 7HQ,0.07,False,2023-09-12 21:56:05.183380180,Pending,Small Box
D00248,N1 2RY,0.65,True,2025-01-25 08:56:53.917154472,Pending,Small Box
D00249,WC2E 7HQ,0.69,True,2023-03-16 18:12:42.692964975,Delivered,Large Box
D00250,WC2E 7HQ,0.38,False,2024-06-21 09:37:17.566345736,Failed,Small Box
D00251,NW1 8BF,0.7,True,2024-01-27 19:54:23.530522552,Failed,Medium Box
D00252,E1 6AN,0.75,True,2023-06-07 22:09:25.009721422,Delivered,Letter
D00253,SE1 7PB,0.5,True,2023-11-30 17:13:21.925902128,Delivered,Medium Box
D00254,W1D 2HP,0.22,False,2023-12-02 18:32:59.654395900,Failed,Large Box
D00255,W1D 2HP,0.71,True,2023-12-14 22:32:26.185742396,Delivered,Small Box
D00256,N1 2RY,0.55,True,2024-05-28 08:13:22.258706504,Failed,Large Box
D00257,EC1A 1BB,0.52,True,2024-03-26 13:46:43.414148856,Pending,Small Box
D00258,N1 2RY,0.64,True,2023-03-20 14:28:34.532677086,Delivered,Letter
D00259,EC1A 1BB,0.91,True,2023-03-20 05:52:50.388507265,Pending,Large Box
D00260,W1D 2HP,0.77,True,2024-08-04 22:39:56.958709448,Failed,Large Box
D00261,NW1 8BF,0.22,False,2025-04-09 17:09:41.599304504,Pending,Medium Box
D00262,E1 6AN,0.44,False,2023-08-19 01:14:52.970427128,Failed,Small Box
D00263,NW1 8BF,0.74,True,2025-01-10 21:51:34.763843984,Pending,Letter
D00264,SW1A 1AA,0.63,True,2024-12-03 23:37:55.354169504,Pending,Large Box
D00265,NW1 8BF,0.3,False,2025-01-22 10:20:22.264910032,Delivered,Large Box
D00266,EC1A 1BB,0.43,False,2024-12-13 16:18:31.260396424,Pending,Letter
D00267,WC2E 7HQ,0.54,True,2023-07-28 14:41:46.818708860,Failed,Small Box
D00268,SE1 7PB,0.64,True,2024-02-16 14:44:36.895404468,Delivered,Small Box
D00269,SW1A 1AA,0.62,True,2023-01-11 19:23:22.908268162,Delivered,Small Box
D00270,NW1 8BF,0.63,True,2023-04-18 03:18:45.947673100,Pending,Letter
D00271,N1 2RY,0.76,True,2024-03-16 10:25:05.729276616,Failed,Large Box
D00272,EC1A 1BB,0.32,False,2024-05-11 17:48:29.000523488,Delivered,Medium Box
D00273,E1 6AN,0.42,False,2024-03-01 04:35:11.926267992,Delivered,Large Box
D00274,EC1A 1BB,0.82,True,2023-01-22 04:19:18.415473920,Pending,Small Box
D00275,SW1A 1AA,0.59,True,2023-08-12 22:12:19.567988188,Delivered,Letter
D00276,SE1 7PB,0.58,True,2024-06-03 16:06:08.549602272,Failed,Medium Box
D00277,EC1A 1BB,0.77,True,2025-01-19 12:01:46.817787352,Failed,Large Box
D00278,WC2E 7HQ,0.35,False,2023-01-19 02:33:05.635263109,Failed,Large Box
D00279,NW1 8BF,0.47,False,2024-07-15 11:11:32.889014624,Failed,Letter
D00280,SW1A 1AA,0.6,True,2023-03-04 04:06:18.097509690,Pending,Small Box
D00281,W1D 2HP,0.54,True,2024-07-31 18:11:02.231704488,Failed,Letter
D00282,EC1A 1BB,0.84,True,2024-06-04 09:16:50.378630896,Pending,Letter
D00283,SE1 7PB,0.59,True,2025-05-10 19:38:23.448270912,Pending,Medium Box
D00284,WC2E 7HQ,0.63,True,2024-07-11 07:42:24.569788120,Failed,Large Box
D00285,E1 6AN,0.35,False,2023-08-07 00:11:31.293643388,Pending,Letter
D00286,EC1A 1BB,0.23,False,2024-03-12 06:20:06.888912048,Pending,Medium Box
D00287,NW1 8BF,0.53,True,2024-02-15 02:06:47.074761120,Pending,Letter
D00288,WC2E 7HQ,0.68,True,2023-11-02 12:26:09.451502820,Pending,Medium Box
D00289,EC1A 1BB,0.57,True,2024-03-17 01:43:56.766014520,Failed,Medium Box
D00290,WC2E 7HQ,0.41,False,2024-12-09 14:49:08.791747536,Pending,Large Box
D00291,SW1A 1AA,0.15,False,2023-04-28 01:01:49.912908362,Delivered,Small Box
D00292,NW1 8BF,0.97,True,2023-07-10 20:42:02.116017386,Failed,Letter
D00293,SW1A 1AA,0.44,False,2025-03-18 21:40:05.781541344,Failed,Large Box
D00294,W1D 2HP,0.29,False,2025-04-03 11:11:47.841496536,Delivered,Large Box
D00295,WC2E 7HQ,0.95,True,2025-04-27 14:03:25.813488432,Failed,Large Box
D00296,NW1 8BF,0.23,False,2024-10-19 17:01:34.949235920,Delivered,Large Box
D00297,W1D 2HP,0.2,False,2025-01-27 20:43:14.040556000,Delivered,Large Box
D00298,NW1 8BF,0.09,False,2025-05-03 20:30:58.813676128,Failed,Letter
D00299,E1 6AN,0.47,False,2025-02-20 08:10:58.607031688,Pending,Small Box
D00300,N1 2RY,0.69,True,2025-04-11 13:01:12.205908032,Failed,Small Box
D00301,NW1 8BF,0.62,True,2025-05-27 01:55:19.545452448,Pending,Letter
D00302,SE1 7PB,0.61,True,2024-01-21 10:56:06.664283044,Failed,Letter
D00303,W1D 2HP,0.2,False,2024-09-08 03:36:49.660472296,Failed,Large Box
D00304,E1 6AN,0.29,False,2023-08-08 04:05:41.518799308,Delivered,Letter
D00305,SW1A 1AA,0.13,False,2024-05-04 12:48:03.238044408,Delivered,Letter
D00306,EC1A 1BB,0.13,False,2024-10-05 02:28:44.502511392,Delivered,Medium Box
D00307,NW1 8BF,0.33,False,2025-01-03 17:37:04.003193792,Pending,Letter
D00308,E1 6AN,0.23,False,2025-04-28 18:32:22.047149632,Failed,Medium Box
D00309,NW1 8BF,0.74,True,2024-04-23 22:27:39.156065864,Delivered,Letter
D00310,EC1A 1BB,0.9,True,2023-01-25 02:59:58.236311367,Delivered,Large Box
D00311,SE1 7PB,0.96,True,2024-05-15 02:34:10.595856120,Failed,Medium Box
D00312,NW1 8BF,0.86,True,2023-08-22 11:53:58.921028012,Delivered,Medium Box
